39918	2985837	0
39918	2831548	2
39918	2953846	0
39918	2920181	0
39918	2803034	0
39918	2560958	1
27067	2975465	2
27067	2905210	0
27067	2942101	2
27067	3034536	1
27067	2777292	1
23443	3093711	2
23443	2547730	2
23443	3108040	1
23443	2746861	2
23534	2913371	2
36180	3029079	0
36180	3088085	1
36180	2934083	1
36180	2952273	2
36180	2838545	1
36180	2666929	2
31723	2666929	1
31723	2908170	1
31723	3026423	1
31723	2809898	1
38130	3026427	0
39380	2547730	2
39380	2970892	1
24530	2843794	1
24530	2886091	1
24530	2844951	1
24530	3074364	2
24530	2794827	2
24530	2666247	1
32264	2759774	1
32264	2758631	2
32264	2977722	0
32264	2844951	2
32264	2595908	2
32264	2984649	2
35921	2718808	2
35921	2937274	1
35921	2882327	0
33649	3080685	2
33649	2874406	2
35723	2946942	2
35723	2828607	1
35723	2896771	2
35723	2964844	1
25547	2784900	2
25547	2661157	0
25547	2708859	2
21974	3108040	2
21974	3088639	0
21974	2762892	2
21974	2882326	2
21974	2971805	1
34897	3015034	1
34897	3069689	1
34897	3075674	1
34897	2827240	1
34897	2621391	0
24758	3066782	2
24758	2994244	2
24758	2682059	1
24758	2886085	0
24758	3071269	2
33329	3008520	0
23922	2556113	0
23922	2994244	2
23922	2913670	1
23922	2897794	2
22900	2862296	0
22900	3074364	1
35781	2839292	2
35781	2773782	1
35781	3104892	1
35781	2975426	1
22028	2773782	2
22028	3119391	1
22028	2937274	1
22028	2799717	2
22028	2880472	2
22028	2718808	0
24156	3066570	0
24156	2551917	0
24156	2655408	2
24156	3074632	0
24156	3011485	1
38735	3026433	1
38735	2963239	0
38735	3042457	0
31290	2862296	0
31290	3047512	2
31290	3062041	0
39644	3035544	0
39644	2817172	0
39644	2853690	1
30301	2964499	2
26205	2655408	1
26205	2556997	2
26205	2912410	0
33225	2977722	0
33225	2769448	0
33225	3070294	1
25337	2789265	1
25337	3090583	1
25337	2922903	1
35826	3019290	0
32467	3091857	2
32467	2831548	2
32467	2660165	0
32467	3074322	2
32467	2784900	0
32467	2746861	1
22182	3110772	0
22182	2954928	0
22182	2910085	1
22182	2842959	0
30927	2514715	1
30927	3011609	0
28915	2801521	1
35026	3006087	1
35026	2762892	2
20650	2754464	1
20650	2962566	2
20650	2596939	2
20650	3066570	1
20650	2908170	1
34257	2760124	2
34257	2729516	1
34257	2896771	0
34257	3025597	0
34257	3011609	2
34257	2996067	1
27356	3095036	1
27356	2799717	1
27356	2922186	1
27356	2596939	2
27356	2904621	0
27356	3107018	1
28170	2759967	2
31245	2824373	1
31245	2996067	1
31245	3033065	2
34002	3049173	2
34002	2502477	1
34002	2809775	0
34002	2606612	2
34002	2460308	2
34002	2790638	1
38438	2996187	1
38438	2758631	0
38438	3107300	1
38438	3026900	1
38438	2804033	2
38438	2505781	2
37071	3007537	2
37071	2838509	1
37071	3005857	1
37071	3121360	2
